event_id,match_id,end_number,team1_code,team2_code,team1_score_before,team2_score_before,team1_score_this_end,team2_score_this_end,team1_score_after,team2_score_after,hammer_team_code,team1_time_left,team2_time_left
1,1,1,SUI,SWE,0,0,0,1,0,1,SUI,35:50,35:04
1,1,2,SUI,SWE,0,1,0,0,0,1,SUI,33:51,31:58
1,1,3,SUI,SWE,0,1,0,0,0,1,SUI,32:12,29:16
1,1,4,SUI,SWE,0,1,0,0,0,1,SUI,27:37,26:01
1,1,5,SUI,SWE,0,1,0,1,0,2,SUI,22:42,20:42
1,1,6,SUI,SWE,0,2,1,0,1,2,SUI,18:48,15:57
1,1,7,SUI,SWE,1,2,0,1,1,3,SWE,11:41,9:27
1,1,8,SUI,SWE,1,3,1,0,2,3,SUI,5:35,5:30
1,1,9,SUI,SWE,2,3,0,1,2,4,SWE,2:59,2:39
1,1,10,SUI,SWE,2,4,2,0,4,4,SUI,0:16,0:44
1,1,11,SUI,SWE,4,4,0,1,4,5,SWE,1:48,0:13
1,2,1,ITA,SCO,0,0,1,0,1,0,SCO,34:46,34:04
1,2,2,ITA,SCO,1,0,0,2,1,2,SCO,30:55,30:43
1,2,3,ITA,SCO,1,2,0,0,1,2,ITA,28:54,29:43
1,2,4,ITA,SCO,1,2,0,1,1,3,ITA,25:58,26:56
1,2,5,ITA,SCO,1,3,1,0,2,3,ITA,21:17,22:33
1,2,6,ITA,SCO,2,3,0,3,2,6,SCO,18:40,18:27
1,2,7,ITA,SCO,2,6,1,0,3,6,ITA,14:33,14:44
1,2,8,ITA,SCO,3,6,0,3,3,9,SCO,9:32,10:49
1,3,1,SUI,ITA,0,0,0,1,0,1,SUI,33:37,33:48
1,3,2,SUI,ITA,0,1,2,0,2,1,SUI,29:57,28:22
1,3,3,SUI,ITA,2,1,0,2,2,3,ITA,27:30,24:51
1,3,4,SUI,ITA,2,3,0,0,2,3,SUI,24:25,20:53
1,3,5,SUI,ITA,2,3,2,0,4,3,SUI,20:02,17:14
1,3,6,SUI,ITA,4,3,0,2,4,5,ITA,14:00,12:36
1,3,7,SUI,ITA,4,5,1,0,5,5,SUI,9:06,9:00
1,3,8,SUI,ITA,5,5,1,0,6,5,ITA,5:32,5:56
1,3,9,SUI,ITA,6,5,0,2,6,7,ITA,3:21,3:45
1,3,10,SUI,ITA,6,7,2,0,8,7,SUI,0:49,1:02
1,4,1,SWE,SCO,0,0,0,1,0,1,SCO,34:14,33:05
1,4,2,SWE,SCO,0,1,1,0,1,1,SWE,29:19,29:36
1,4,3,SWE,SCO,1,1,1,0,2,1,SCO,25:38,24:19
1,4,4,SWE,SCO,2,1,0,1,2,2,SCO,20:36,19:51
1,4,5,SWE,SCO,2,2,1,0,3,2,SWE,15:46,16:48
1,4,6,SWE,SCO,3,2,0,2,3,4,SCO,10:33,13:03
1,4,7,SWE,SCO,3,4,2,0,5,4,SWE,8:03,10:08
1,4,8,SWE,SCO,5,4,0,1,5,5,SCO,4:46,6:00
1,4,9,SWE,SCO,5,5,2,0,7,5,SWE,3:25,4:28
1,4,10,SWE,SCO,7,5,1,0,8,5,SCO,0:08,0:22
1,5,1,CZE,DEN,0,0,0,0,0,0,CZE,35:30,36:03
1,5,2,CZE,DEN,0,0,1,0,1,0,CZE,31:47,33:47
1,5,3,CZE,DEN,1,0,0,1,1,1,DEN,27:28,30:28
1,5,4,CZE,DEN,1,1,0,1,1,2,CZE,23:35,26:45
1,5,5,CZE,DEN,1,2,0,2,1,4,CZE,19:59,23:51
1,5,6,CZE,DEN,1,4,2,0,3,4,CZE,16:52,21:55
1,5,7,CZE,DEN,3,4,0,1,3,5,DEN,13:18,18:39
1,5,8,CZE,DEN,3,5,2,0,5,5,CZE,9:07,15:54
1,5,9,CZE,DEN,5,5,0,1,5,6,DEN,4:33,10:57
1,5,10,CZE,DEN,5,6,1,0,6,6,CZE,0:28,6:53
1,5,11,CZE,DEN,6,6,0,1,6,7,DEN,0:25,2:00
1,6,1,AUT,SWE,0,0,0,0,0,0,SWE,35:33,35:45
1,6,2,AUT,SWE,0,0,0,2,0,2,SWE,30:55,30:58
1,6,3,AUT,SWE,0,2,1,0,1,2,AUT,24:52,27:36
1,6,4,AUT,SWE,1,2,0,3,1,5,SWE,21:39,23:18
1,6,5,AUT,SWE,1,5,2,0,3,5,AUT,18:11,20:23
1,6,6,AUT,SWE,3,5,0,1,3,6,SWE,13:22,15:58
1,6,7,AUT,SWE,3,6,0,0,3,6,AUT,10:36,13:12
1,6,8,AUT,SWE,3,6,0,1,3,7,AUT,7:37,10:02
1,6,9,AUT,SWE,3,7,2,0,5,7,AUT,4:50,6:41
1,6,10,AUT,SWE,5,7,X,X,5,7,,2:44,4:14
1,7,1,GER,POL,0,0,2,0,2,0,GER,35:10,34:33
1,7,2,GER,POL,2,0,0,2,2,2,POL,32:08,30:32
1,7,3,GER,POL,2,2,2,0,4,2,GER,29:35,27:14
1,7,4,GER,POL,4,2,0,1,4,3,POL,25:13,22:54
1,7,5,GER,POL,4,3,0,0,4,3,GER,20:06,19:16
1,7,6,GER,POL,4,3,0,0,4,3,GER,17:12,16:54
1,7,7,GER,POL,4,3,2,0,6,3,GER,12:11,11:53
1,7,8,GER,POL,6,3,0,0,6,3,POL,9:42,9:10
1,7,9,GER,POL,6,3,0,1,6,4,POL,6:16,4:36
1,7,10,GER,POL,6,4,0,1,6,5,GER,3:20,1:28
1,8,1,SCO,ITA,0,0,0,0,0,0,ITA,35:58,35:40
1,8,2,SCO,ITA,0,0,0,1,0,1,ITA,32:27,32:13
1,8,3,SCO,ITA,0,1,3,0,3,1,SCO,28:10,27:37
1,8,4,SCO,ITA,3,1,0,1,3,2,ITA,24:41,24:33
1,8,5,SCO,ITA,3,2,1,0,4,2,SCO,21:11,20:28
1,8,6,SCO,ITA,4,2,1,0,5,2,ITA,16:59,17:01
1,8,7,SCO,ITA,5,2,0,2,5,4,ITA,12:37,13:54
1,8,8,SCO,ITA,5,4,1,0,6,4,SCO,8:35,8:16
1,8,9,SCO,ITA,6,4,0,1,6,5,ITA,4:56,3:25
1,8,10,SCO,ITA,6,5,2,0,8,5,SCO,1:12,0:47
1,9,1,SUI,NOR,0,0,2,0,2,0,SUI,35:11,34:21
1,9,2,SUI,NOR,2,0,0,2,2,2,NOR,32:19,31:17
1,9,3,SUI,NOR,2,2,2,0,4,2,SUI,29:19,28:23
1,9,4,SUI,NOR,4,2,1,0,5,2,NOR,26:05,25:25
1,9,5,SUI,NOR,5,2,0,1,5,3,NOR,23:13,21:40
1,9,6,SUI,NOR,5,3,0,0,5,3,SUI,22:13,19:57
1,9,7,SUI,NOR,5,3,3,0,8,3,SUI,20:34,17:23
1,9,8,SUI,NOR,8,3,0,1,8,4,NOR,15:41,12:59
1,10,1,ITA,SUI,0,0,0,0,0,0,ITA,36:12,36:29
1,10,2,ITA,SUI,0,0,2,0,2,0,ITA,32:48,33:47
1,10,3,ITA,SUI,2,0,0,2,2,2,SUI,29:47,30:06
1,10,4,ITA,SUI,2,2,0,0,2,2,ITA,25:53,27:30
1,10,5,ITA,SUI,2,2,1,0,3,2,ITA,21:47,24:13
1,10,6,ITA,SUI,3,2,0,2,3,4,SUI,18:20,22:00
1,10,7,ITA,SUI,3,4,3,0,6,4,ITA,16:00,17:54
1,10,8,ITA,SUI,6,4,0,2,6,6,SUI,10:07,13:59
1,10,9,ITA,SUI,6,6,2,0,8,6,ITA,6:29,7:25
1,10,10,ITA,SUI,8,6,0,3,8,9,SUI,0:45,0:37
1,11,1,CZE,POL,0,0,2,0,2,0,CZE,34:39,34:08
1,11,2,CZE,POL,2,0,0,1,2,1,POL,31:55,29:27
1,11,3,CZE,POL,2,1,3,0,5,1,CZE,27:18,25:51
1,11,4,CZE,POL,5,1,0,0,5,1,POL,24:49,23:29
1,11,5,CZE,POL,5,1,0,1,5,2,POL,20:41,17:52
1,11,6,CZE,POL,5,2,3,0,8,2,CZE,17:20,13:40
1,11,7,CZE,POL,8,2,1,0,9,2,POL,12:54,9:05
1,12,1,AUT,DEN,0,0,0,0,0,0,DEN,35:21,34:48
1,12,2,AUT,DEN,0,0,2,0,2,0,DEN,32:15,30:25
1,12,3,AUT,DEN,2,0,0,1,2,1,DEN,29:03,25:06
1,12,4,AUT,DEN,2,1,0,0,2,1,AUT,26:31,22:39
1,12,5,AUT,DEN,2,1,1,0,3,1,AUT,22:56,19:52
1,12,6,AUT,DEN,3,1,0,1,3,2,DEN,16:18,15:23
1,12,7,AUT,DEN,3,2,1,0,4,2,AUT,12:09,11:47
1,12,8,AUT,DEN,4,2,0,1,4,3,DEN,6:30,7:17
1,12,9,AUT,DEN,4,3,0,1,4,4,AUT,3:49,4:41
1,12,10,AUT,DEN,4,4,0,2,4,6,AUT,0:57,1:48
1,13,1,NOR,GER,0,0,0,1,0,1,NOR,34:27,35:04
1,13,2,NOR,GER,0,1,1,0,1,1,NOR,31:51,33:09
1,13,3,NOR,GER,1,1,0,1,1,2,GER,27:56,29:57
1,13,4,NOR,GER,1,2,1,0,2,2,NOR,23:53,24:42
1,13,5,NOR,GER,2,2,0,3,2,5,GER,19:30,18:28
1,13,6,NOR,GER,2,5,1,0,3,5,NOR,14:58,14:39
1,13,7,NOR,GER,3,5,0,0,3,5,GER,12:49,12:23
1,13,8,NOR,GER,3,5,0,1,3,6,GER,8:51,7:59
1,13,9,NOR,GER,3,6,0,1,3,7,NOR,2:17,3:37
1,14,1,SWE,SCO,0,0,0,2,0,2,SCO,34:05,33:06
1,14,2,SWE,SCO,0,2,1,0,1,2,SWE,28:51,29:51
1,14,3,SWE,SCO,1,2,0,2,1,4,SCO,23:59,25:12
1,14,4,SWE,SCO,1,4,3,0,4,4,SWE,18:11,20:17
1,14,5,SWE,SCO,4,4,0,1,4,5,SCO,13:47,17:11
1,14,6,SWE,SCO,4,5,0,1,4,6,SWE,9:51,12:21
1,14,7,SWE,SCO,4,6,0,1,4,7,SWE,7:51,9:35
1,14,8,SWE,SCO,4,7,0,4,4,11,SWE,5:04,6:50
1,15,1,GER,AUT,0,0,0,0,0,0,AUT,35:53,35:55
1,15,2,GER,AUT,0,0,0,1,0,1,AUT,32:51,31:57
1,15,3,GER,AUT,0,1,2,0,2,1,GER,30:04,28:39
1,15,4,GER,AUT,2,1,2,0,4,1,AUT,25:11,24:18
1,15,5,GER,AUT,4,1,0,1,4,2,AUT,22:46,21:26
1,15,6,GER,AUT,4,2,4,0,8,2,GER,19:52,18:12
1,16,1,DEN,SUI,0,0,1,0,1,0,SUI,35:42,35:34
1,16,2,DEN,SUI,1,0,0,2,1,2,SUI,32:37,32:23
1,16,3,DEN,SUI,1,2,0,2,1,4,DEN,29:21,28:41
1,16,4,DEN,SUI,1,4,0,0,1,4,DEN,27:28,26:51
1,16,5,DEN,SUI,1,4,1,0,2,4,DEN,23:17,24:13
1,16,6,DEN,SUI,2,4,0,1,2,5,SUI,18:37,20:59
1,16,7,DEN,SUI,2,5,0,1,2,6,DEN,15:54,18:22
1,16,8,DEN,SUI,2,6,1,0,3,6,DEN,11:15,14:35
1,16,9,DEN,SUI,3,6,0,3,3,9,SUI,8:34,12:52
1,17,1,SWE,ITA,0,0,0,0,0,0,SWE,35:15,35:01
1,17,2,SWE,ITA,0,0,1,0,1,0,SWE,31:53,31:58
1,17,3,SWE,ITA,1,0,0,1,1,1,ITA,29:29,27:57
1,17,4,SWE,ITA,1,1,1,0,2,1,SWE,26:05,24:30
1,17,5,SWE,ITA,2,1,0,0,2,1,ITA,23:29,22:45
1,17,6,SWE,ITA,2,1,0,2,2,3,ITA,19:10,19:01
1,17,7,SWE,ITA,2,3,1,0,3,3,SWE,13:06,12:07
1,17,8,SWE,ITA,3,3,1,0,4,3,ITA,10:52,9:42
1,17,9,SWE,ITA,4,3,0,1,4,4,ITA,6:38,5:08
1,17,10,SWE,ITA,4,4,0,2,4,6,SWE,1:31,2:31
1,18,1,POL,SCO,0,0,0,2,0,2,SCO,34:10,34:09
1,18,2,POL,SCO,0,2,0,1,0,3,POL,29:55,31:38
1,18,3,POL,SCO,0,3,2,0,2,3,POL,27:12,29:23
1,18,4,POL,SCO,2,3,0,0,2,3,SCO,22:26,26:23
1,18,5,POL,SCO,2,3,0,2,2,5,SCO,16:41,20:55
1,18,6,POL,SCO,2,5,0,0,2,5,POL,13:04,17:01
1,18,7,POL,SCO,2,5,0,1,2,6,POL,9:25,14:15
1,18,8,POL,SCO,2,6,0,1,2,7,POL,5:12,10:51
1,19,1,NOR,CZE,0,0,0,0,0,0,CZE,36:39,36:39
1,19,2,NOR,CZE,0,0,0,1,0,1,CZE,33:52,31:44
1,19,3,NOR,CZE,0,1,0,2,0,3,NOR,30:05,28:38
1,19,4,NOR,CZE,0,3,1,0,1,3,NOR,26:50,25:28
1,19,5,NOR,CZE,1,3,1,0,2,3,CZE,20:17,19:41
1,19,6,NOR,CZE,2,3,1,0,3,3,CZE,16:37,15:39
1,19,7,NOR,CZE,3,3,0,2,3,5,CZE,12:00,11:53
1,19,8,NOR,CZE,3,5,1,0,4,5,NOR,6:57,8:26
1,19,9,NOR,CZE,4,5,0,1,4,6,CZE,4:05,5:52
1,19,10,NOR,CZE,4,6,X,X,4,6,,0:22,2:16
1,20,1,POL,SWE,0,0,2,0,2,0,POL,34:34,34:15
